LGA_CODE20,LGA name,population
10050,Albury (C),55055
10180,Armidale Regional (A),29704
10250,Ballina (A),45217
10300,Balranald (A),2306
10470,Bathurst Regional (A),43996
10500,Bayside (A),181472
10550,Bega Valley (A),34727
10600,Bellingen (A),13141
10650,Berrigan (A),8784
10750,Blacktown (C),382831
10800,Bland (A),5937
10850,Blayney (A),7382
10900,Blue Mountains (C),79195
10950,Bogan (A),2529
11150,Bourke (A),2625
11200,Brewarrina (A),1553
11250,Broken Hill (C),17269
11300,Burwood (A),40866
11350,Byron (A),35773
11400,Cabonne (A),13677
11450,Camden (A),107806
11500,Campbelltown (C) (NSW),174078
11520,Canada Bay (A),96550
11570,Canterbury-Bankstown (A),380406
11600,Carrathool (A),2796
11650,Central Coast (C) (NSW),345809
11700,Central Darling (A),1829
11720,Cessnock (C),61256
11730,Clarence Valley (A),51730
11750,Cobar (A),4417
11800,Coffs Harbour (C),77648
12000,Coolamon (A),4291
12150,Coonamble (A),3907
12160,Cootamundra-Gundagai Regional (A),11225
12350,Cowra (A),12730
12380,Cumberland (A),242674
12390,Dubbo Regional (A),54044
12700,Dungog (A),9664
12730,Edward River (A),9083
12750,Eurobodalla (A),38952
12850,Fairfield (C),210825
12870,Federation (A),12598
12900,Forbes (A),9920
12930,Georges River (A),160272
12950,Gilgandra (A),4229
13010,Glen Innes Severn (A),8873
13310,Goulburn Mulwaree (A),31554
13340,Greater Hume Shire (A),10841
13450,Griffith (C),27155
13550,Gunnedah (A),12690
13660,Gwydir (A),5299
13800,Hawkesbury (C),67749
13850,Hay (A),2943
13910,Hilltops (A),18617
14000,Hornsby (A),152419
14100,Hunters Hill (A),14962
14170,Inner West (A),201880
14220,Inverell (A),17780
14300,Junee (A),6676
14350,Kempsey (A),29921
14400,Kiama (A),23685
14500,Ku-ring-gai (A),127603
14550,Kyogle (A),8788
14600,Lachlan (A),6089
14650,Lake Macquarie (C),207775
14700,Lane Cove (A),40534
14750,Leeton (A),11343
14850,Lismore (C),43667
14870,Lithgow (C),21516
14900,Liverpool (C),231296
14920,Liverpool Plains (A),7853
14950,Lockhart (A),3259
15050,Maitland (C),87395
15240,Mid-Coast (A),94395
15270,Mid-Western Regional (A),25367
15300,Moree Plains (A),13077
15350,Mosman (A),30785
15520,Murray River (A),12330
15560,Murrumbidgee (A),3916
15650,Muswellbrook (A),16355
15700,Nambucca Valley (A),19861
15750,Narrabri (A),13049
15800,Narrandera (A),5858
15850,Narromine (A),6460
15900,Newcastle (C),167363
15950,North Sydney (A),75094
15990,Northern Beaches (A),274041
16100,Oberon (A),5419
16150,Orange (C),42503
16200,Parkes (A),14728
16260,Parramatta (C),260296
16350,Penrith (C),216282
16380,Port Macquarie-Hastings (A),85952
16400,Port Stephens (A),74506
16490,Queanbeyan-Palerang Regional (A),62239
16550,Randwick (C),156619
16610,Richmond Valley (A),23490
16700,Ryde (C),133224
16900,Shellharbour (C),74622
16950,Shoalhaven (C),107191
17000,Singleton (A),23380
17040,Snowy Monaro Regional (A),20997
17080,Snowy Valleys (A),14412
17100,Strathfield (A),47767
17150,Sutherland Shire (A),232369
17200,Sydney (C),248736
17310,Tamworth Regional (A),62545
17350,Temora (A),6274
17400,Tenterfield (A),6470
17420,The Hills Shire (A),183791
17550,Tweed (A),98382
17620,Upper Hunter Shire (A),14167
17640,Upper Lachlan Shire (A),8274
17650,Uralla (A),5944
17750,Wagga Wagga (C),65770
17850,Walcha (A),3105
17900,Walgett (A),5828
17950,Warren (A),2716
18020,Warrumbungle Shire (A),9209
18050,Waverley (A),74276
18100,Weddin (A),3596
18200,Wentworth (A),7090
18250,Willoughby (C),81196
18350,Wingecarribee (A),51760
18400,Wollondilly (A),54005
18450,Wollongong (C),219798
18500,Woollahra (A),59431
18710,Yass Valley (A),17321
19399,Unincorporated NSW,961
